Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Id_discreto;Lithofacies
F-14;3032.00;18.0130;0.1870;2.2690;3.6120;83.1930;2.3010;0.1070;0.0040;609.2530;0.2175;0.2175;-0.0310;1;F-TIDAL BAR
F-14;3032.25;18.4100;0.1900;2.2820;3.7860;83.0270;2.1222;0.1120;0.0100;486.9820;0.2101;0.2101;-0.0200;1;F-TIDAL BAR
F-14;3032.50;18.8070;0.1930;2.2950;3.9610;82.8600;1.8127;0.1160;0.0160;411.6560;0.2027;0.2027;-0.0090;1;F-TIDAL BAR
F-14;3032.75;20.4460;0.1850;2.2820;3.6560;83.2490;1.7252;0.1310;0.0220;263.6980;0.2105;0.2105;-0.0260;1;F-TIDAL BAR
F-14;3033.00;22.0850;0.1770;2.2680;3.3510;83.6390;1.6154;0.1370;0.0240;283.5380;0.2182;0.2182;-0.0420;1;F-TIDAL BAR
F-14;3033.25;20.5970;0.1800;2.2380;3.0780;83.8500;1.6805;0.1450;0.0230;270.8670;0.2353;0.2353;-0.0550;1;F-TIDAL BAR
F-14;3033.50;19.1080;0.1840;2.2080;2.8040;84.0610;1.7371;0.1400;0.0240;427.6100;0.2525;0.2525;-0.0690;1;F-TIDAL BAR
F-14;3033.75;19.6570;0.1900;2.2550;3.1140;85.2030;1.8046;0.1190;0.0100;626.9350;0.2258;0.2258;-0.0350;1;F-TIDAL BAR
F-14;3034.00;20.2070;0.1970;2.3020;3.4230;86.3450;1.8631;0.1220;0.0040;454.0920;0.1991;0.1991;-0.0020;1;F-TIDAL BAR
F-14;3034.25;19.1160;0.1940;2.2680;3.0770;83.3940;1.7396;0.1340;0.0090;277.4570;0.2186;0.2186;-0.0250;1;F-TIDAL BAR
F-14;3034.50;18.0260;0.1910;2.2330;2.7310;80.4440;1.5663;0.1210;0.0240;526.4770;0.2381;0.2381;-0.0470;1;F-TIDAL BAR
F-14;3034.75;19.9930;0.1810;2.2450;2.8150;77.3990;1.4533;0.1170;0.0200;570.2890;0.2315;0.2315;-0.0510;1;F-TIDAL BAR
F-14;3035.00;21.9600;0.1710;2.2560;2.9000;74.3540;1.3001;0.1260;0.0300;455.1500;0.2251;0.2251;-0.0540;1;F-TIDAL BAR
F-14;3035.25;27.2860;0.1720;2.2930;3.1010;74.6410;1.2797;0.1620;0.0190;186.4210;0.2039;0.2039;-0.0320;1;F-TIDAL BAR
F-14;3035.50;32.6120;0.1720;2.3300;3.3030;74.9290;1.2583;0.2090;0.0040;61.0010;0.1827;0.1827;-0.0100;1;F-TIDAL BAR
F-14;3035.75;38.2740;0.1810;2.3520;3.9360;76.0700;1.1517;0.2530;0.0370;17.3770;0.1702;0.1702;0.0110;1;F-TIDAL BAR
F-14;3036.00;43.9360;0.1900;2.3740;4.5700;77.2110;1.0102;0.3150;0.0750;2.9360;0.1578;0.1578;0.0320;1;F-TIDAL BAR
F-14;3036.25;45.2390;0.1920;2.3140;4.1080;76.3120;1.1406;0.3250;0.0400;5.2450;0.1921;0.1921;0.0000;2;F-TIDAL FLAT MUDDY
F-14;3036.50;46.5410;0.1950;2.2540;3.6470;75.4140;1.2408;0.3310;0.0440;6.7820;0.2264;0.2264;-0.0310;2;F-TIDAL FLAT MUDDY
F-14;3036.75;46.6880;0.1940;2.2860;3.5840;75.4850;1.1883;0.3620;0.0760;3.1570;0.2080;0.2080;-0.0140;2;F-TIDAL FLAT MUDDY
F-14;3037.00;46.8340;0.1930;2.3180;3.5200;75.5570;1.1286;0.3590;0.0410;2.6350;0.1895;0.1895;0.0040;2;F-TIDAL FLAT MUDDY
