Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Cluster_all;PCA_1;PCA_2;Id_discreto;Lithofacies
F-4;3266.75;34.7167;0.2084;2.2053;2.9351;90.8482;1.3439;0.202;0.166;137.691;0.247;0.254;-0.046;3;0.9842;0.3840;1;F-TIDAL BAR
F-4;3267.00;34.8734;0.2022;2.2259;2.7199;90.2736;1.3434;0.203;0.177;120.402;0.240;0.242;-0.040;3;0.7255;0.5693;1;F-TIDAL BAR
F-4;3267.25;35.0130;0.2083;2.2409;2.8067;90.5323;1.3166;0.202;0.178;132.249;0.244;0.234;-0.025;3;0.7501;0.4709;1;F-TIDAL BAR
F-4;3267.50;35.1525;0.2143;2.2560;2.6521;90.7911;1.2881;0.206;0.173;108.978;0.240;0.225;-0.011;3;0.7727;0.5679;1;F-TIDAL BAR
F-4;3267.75;31.8816;0.2264;2.2030;2.6752;90.4262;1.3150;0.194;0.179;123.997;0.229;0.255;-0.029;3;1.2181;0.5844;1;F-TIDAL BAR
F-4;3268.00;28.6107;0.2385;2.1499;3.0730;90.0613;1.3403;0.172;0.205;362.067;0.255;0.286;-0.047;3;1.6642;0.4139;1;F-TIDAL BAR
F-4;3268.25;29.7181;0.2304;2.1428;3.0663;92.6224;1.3211;0.167;0.167;616.311;0.279;0.290;-0.059;3;1.8100;0.5827;1;F-TIDAL BAR
F-4;3268.50;30.8255;0.2223;2.1356;3.0466;95.1835;1.3010;0.176;0.159;458.944;0.275;0.294;-0.072;3;1.9564;0.4680;1;F-TIDAL BAR
F-4;3268.75;30.1713;0.2256;2.1298;3.0063;95.0840;1.2715;0.177;0.154;466.017;0.279;0.297;-0.072;3;2.0283;0.4805;1;F-TIDAL BAR
F-4;3269.00;29.5170;0.2290;2.1239;3.0479;94.9846;1.2399;0.174;0.150;483.763;0.275;0.301;-0.072;3;2.1022;0.4230;1;F-TIDAL BAR
F-4;3269.25;28.1632;0.2192;2.1310;3.0520;95.2102;1.2312;0.160;0.142;778.871;0.282;0.297;-0.077;3;1.9353;0.6217;1;F-TIDAL BAR
F-4;3269.50;26.8094;0.2094;2.1381;2.9467;95.4359;1.2222;0.150;0.141;958.443;0.280;0.293;-0.083;3;1.7685;0.8381;1;F-TIDAL BAR
F-4;3269.75;27.3682;0.2197;2.1333;3.0364;94.3112;1.2038;0.153;0.145;732.466;0.269;0.295;-0.076;3;1.8504;0.5752;1;F-TIDAL BAR
F-4;3270.00;27.9271;0.2299;2.1285;3.0436;93.1865;1.1846;0.158;0.144;678.074;0.271;0.298;-0.068;3;1.9308;0.5103;1;F-TIDAL BAR
F-4;3270.25;27.9832;0.2195;2.1329;3.0419;94.3151;1.1875;0.157;0.141;778.920;0.279;0.295;-0.076;3;1.8512;0.5870;1;F-TIDAL BAR
F-4;3270.50;28.0393;0.2091;2.1373;3.0417;95.4436;1.1903;0.159;0.140;780.022;0.280;0.293;-0.084;3;1.7716;0.5908;1;F-TIDAL BAR
F-4;3270.75;29.9221;0.2228;2.1323;3.0468;93.6771;1.1960;0.170;0.133;532.519;0.275;0.296;-0.073;3;1.8513;0.4147;1;F-TIDAL BAR
F-4;3271.00;31.8049;0.2365;2.1273;3.0428;91.9106;1.2016;0.183;0.126;396.359;0.278;0.299;-0.062;3;1.9310;0.3266;1;F-TIDAL BAR
F-4;3271.25;34.4957;0.2231;2.1818;3.1246;89.1817;1.1117;0.181;0.137;416.148;0.278;0.268;-0.044;3;1.1903;0.1748;1;F-TIDAL BAR
F-4;3271.50;37.1865;0.2097;2.2362;3.1117;86.4528;0.9981;0.190;0.163;260.940;0.264;0.236;-0.027;3;0.4501;-0.0388;1;F-TIDAL BAR
F-4;3271.75;45.4750;0.1940;2.3655;3.0855;81.5105;1.0542;0.228;0.188;55.156;0.222;0.163;0.031;3;-0.9374;-0.1054;1;F-TIDAL BAR
F-4;3272.00;53.7634;0.1782;2.4948;3.7198;76.5682;1.1038;0.291;0.320;2.469;0.148;0.089;0.090;0;-2.3264;-0.6773;6;F-LOWER SHOREFACE
F-4;3272.25;52.6161;0.1912;2.3698;3.8764;75.5253;1.0699;0.328;0.480;0.710;0.131;0.160;0.031;0;-1.5058;-0.8570;6;F-LOWER SHOREFACE
F-4;3272.50;51.4689;0.2041;2.2447;3.3690;74.4825;1.0332;0.317;0.426;3.630;0.206;0.232;-0.028;0;-0.6861;-0.4246;6;F-LOWER SHOREFACE
F-4;3272.75;46.1090;0.2101;2.2488;2.8668;79.0727;1.0055;0.294;0.360;11.189;0.239;0.229;-0.019;1;-0.2367;0.0155;6;F-LOWER SHOREFACE
F-4;3273.00;40.7492;0.2161;2.2530;2.8801;83.6629;0.9760;0.255;0.276;31.054;0.239;0.227;-0.011;7;0.2122;-0.0123;6;F-LOWER SHOREFACE
F-4;3273.25;37.9325;0.2165;2.2139;2.9823;86.4962;0.9686;0.240;0.248;39.766;0.233;0.249;-0.033;7;0.6833;-0.1076;6;F-LOWER SHOREFACE
F-4;3273.50;35.1158;0.2168;2.1748;3.0099;89.3294;0.9612;0.223;0.217;80.021;0.245;0.272;-0.055;7;1.1529;-0.1117;6;F-LOWER SHOREFACE
F-4;3273.75;34.3874;0.2215;2.1640;3.0438;88.6200;0.9897;0.201;0.182;191.894;0.263;0.278;-0.056;7;1.2213;-0.0341;6;F-LOWER SHOREFACE
F-4;3274.00;33.6590;0.2261;2.1533;3.1007;87.9106;1.0164;0.195;0.159;258.775;0.272;0.284;-0.058;3;1.2878;-0.0118;6;F-LOWER SHOREFACE
F-4;3274.25;33.0745;0.2270;2.1647;3.1475;87.8295;1.0230;0.189;0.176;295.064;0.270;0.277;-0.050;3;1.2269;-0.0223;6;F-LOWER SHOREFACE
F-4;3274.50;32.4900;0.2280;2.1761;3.1641;87.7485;1.0296;0.189;0.179;246.321;0.260;0.271;-0.043;3;1.1675;-0.0658;6;F-LOWER SHOREFACE
F-4;3274.75;30.9350;0.2224;2.1779;3.1739;89.0092;1.0413;0.184;0.177;282.692;0.261;0.270;-0.047;3;1.1813;-0.0370;6;F-LOWER SHOREFACE
F-4;3275.00;29.3800;0.2168;2.1797;3.1197;90.2700;1.0526;0.164;0.174;478.178;0.261;0.269;-0.052;3;1.1951;0.1642;6;F-LOWER SHOREFACE
F-4;3275.25;30.8551;0.2131;2.1994;3.1295;90.4805;1.0586;0.171;0.180;362.952;0.255;0.257;-0.044;3;1.0481;0.0788;6;F-LOWER SHOREFACE
F-4;3275.50;32.3303;0.2094;2.2192;3.1124;90.6910;1.0646;0.188;0.187;205.711;0.248;0.246;-0.037;3;0.9004;-0.0120;6;F-LOWER SHOREFACE
F-4;3275.75;31.2491;0.2097;2.2385;3.1587;88.8307;1.0614;0.188;0.197;165.488;0.237;0.235;-0.025;3;0.6309;-0.0866;6;F-LOWER SHOREFACE
F-4;3276.00;30.1679;0.2100;2.2579;3.1382;86.9703;1.0582;0.174;0.202;203.038;0.229;0.224;-0.014;3;0.3607;-0.0441;6;F-LOWER SHOREFACE
F-4;3276.25;32.4433;0.2069;2.2387;3.1685;87.0505;1.0534;0.179;0.206;172.178;0.226;0.235;-0.028;3;0.4377;-0.0989;6;F-LOWER SHOREFACE
F-4;3276.50;34.7188;0.2039;2.2196;3.0825;87.1308;1.0486;0.195;0.201;137.541;0.237;0.246;-0.042;3;0.5156;-0.0494;6;F-LOWER SHOREFACE
